Índice FipeZAP,Imóveis residenciais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Venda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rentabilidade do aluguel (rental yield),,,,
,Var. mensal (%),,,,,Var. em 12 meses (%),,,,,Preço médio (R$/m²),,,,,Var. mensal (%),,,,,Var. em 12 meses (%),,,,,Preço médio (R$/m²),,,,,(% - mensalizada),,,,
Data,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D
Jan-08,.,.,.,.,.,.,.,.,.,.,"2,226","2,411","1,983","2,211","2,824",.,.,.,.,.,.,.,.,.,.,13.2,15.8,12.5,11.9,13.8,0.64%,0.73%,0.66%,0.60%,0.57%
Feb-08,+0.61%,+1.01%,+0.73%,+0.30%,+0.27%,.,.,.,.,.,"2,240","2,436","1,997","2,217","2,832",+0.97%,+2.04%,+0.92%, -0.40%,+0.31%,.,.,.,.,.,13.3,16.1,12.6,11.8,13.9,0.65%,0.74%,0.67%,0.59%,0.57%
Mar-08,+1.05%,+1.50%,+1.34%,+0.66%,+0.42%,.,.,.,.,.,"2,263","2,472","2,024","2,232","2,843",+3.74%,+8.82%,+2.94%,+1.09%,+0.78%,.,.,.,.,.,13.8,17.6,13.0,12.0,14.0,0.67%,0.79%,0.67%,0.60%,0.57%
Apr-08,+1.37%,+1.90%,+1.41%,+1.31%,+0.70%,.,.,.,.,.,"2,294","2,519","2,053","2,261","2,863",+1.62%,+1.30%,+0.90%,+2.32%,+1.09%,.,.,.,.,.,14.1,17.8,13.1,12.2,14.1,0.67%,0.79%,0.68%,0.60%,0.58%
May-08,+1.34%,+1.72%,+1.28%,+1.25%,+1.08%,.,.,.,.,.,"2,325","2,563","2,079","2,290","2,894",+2.25%,+2.33%,+2.06%,+2.97%,+0.88%,.,.,.,.,.,14.4,18.2,13.4,12.6,14.3,0.68%,0.79%,0.69%,0.61%,0.58%
Jun-08,+1.48%,+1.78%,+1.49%,+1.28%,+1.30%,.,.,.,.,.,"2,359","2,608","2,110","2,319","2,932", -0.40%, -4.65%, -0.48%,+2.26%,+1.13%,.,.,.,.,.,14.3,17.4,13.3,12.9,14.4,0.67%,0.74%,0.68%,0.62%,0.58%
Jul-08,+1.35%,+1.94%,+1.54%,+0.91%,+0.62%,.,.,.,.,.,"2,391","2,659","2,142","2,340","2,950",+1.60%,+1.86%,+2.02%,+0.51%,+1.49%,.,.,.,.,.,14.5,17.7,13.6,13.0,14.6,0.67%,0.74%,0.69%,0.61%,0.58%
Aug-08,+1.04%,+0.61%,+1.76%,+0.98%,+0.31%,.,.,.,.,.,"2,416","2,675","2,180","2,363","2,959",+0.58%,+0.23%,+0.47%,+0.31%,+1.78%,.,.,.,.,.,14.6,17.7,13.6,13.0,14.9,0.66%,0.74%,0.68%,0.61%,0.59%
Sep-08,+1.02%,+0.74%,+1.55%,+0.88%,+0.49%,.,.,.,.,.,"2,441","2,695","2,214","2,384","2,974",+2.09%,+4.02%,+2.66%,+0.50%,+0.83%,.,.,.,.,.,14.9,18.4,14.0,13.1,15.0,0.67%,0.77%,0.68%,0.61%,0.59%
Oct-08,+1.16%,+0.80%,+1.65%,+0.93%,+1.02%,.,.,.,.,.,"2,469","2,717","2,250","2,406","3,004",+1.61%,+4.15%,+1.42%,+0.97%,+0.26%,.,.,.,.,.,15.2,19.2,14.2,13.2,15.0,0.67%,0.79%,0.68%,0.61%,0.59%
Nov-08,+1.60%,+1.76%,+1.76%,+1.17%,+1.54%,.,.,.,.,.,"2,508","2,764","2,290","2,434","3,051",+0.72%,+1.34%,+0.07%,+1.42%,+0.21%,.,.,.,.,.,15.3,19.5,14.2,13.4,15.1,0.67%,0.78%,0.67%,0.61%,0.58%
Dec-08,+1.77%,+2.67%,+1.72%,+1.10%,+1.46%,.,.,.,.,.,"2,553","2,838","2,329","2,461","3,095",+0.04%,+0.66%, -1.00%,+0.93%,+0.47%,.,.,.,.,.,15.3,19.6,14.1,13.5,15.2,0.66%,0.76%,0.65%,0.61%,0.58%
Jan-09,+1.38%,+1.64%,+1.34%,+1.14%,+1.23%,+16.25%,+19.63%,+19.05%,+12.59%,+10.96%,"2,588","2,885","2,361","2,489","3,133",+0.29%, -0.37%,+0.39%,+0.43%,+1.18%,+16.11%,+23.38%,+13.01%,+14.12%,+10.91%,15.3,19.5,14.1,13.6,15.3,0.65%,0.74%,0.64%,0.61%,0.57%
